indice_tiempo,oferta_global_pbi,demanda_global_ibif_total,demanda_global_ibif_total / ofert_global_pbi
2004-01-01,460369.442233,71794.4338534,0.15594960757
2004-04-01,514395.681772,81995.4803159,0.159401572022
2004-07-01,481151.979944,79254.3138122,0.164717837847
2004-10-01,484543.676877,75368.4804708,0.155545277067
2005-01-01,493602.530578,80672.4347239,0.163436023372
2005-04-01,581668.24988,94508.358708,0.162478111411
2005-07-01,514697.789505,89948.6041671,0.174760035891
2005-10-01,522255.200051,92100.0229376,0.17635060968
2006-01-01,532348.212017,93836.5731692,0.176269161896
2006-04-01,614076.392609,105355.813062,0.171567925962
2006-07-01,562978.965627,106228.602342,0.188690179967
2006-10-01,572794.046631,103509.588495,0.180709958673
2007-01-01,576846.885699,111459.500158,0.193221984761
2007-04-01,674620.563006,125373.057892,0.185842330885
2007-07-01,610425.694015,128893.703349,0.211153797445
2007-10-01,625876.867864,126843.699369,0.202665581494
2008-01-01,616720.357064,130866.275031,0.212197106082
2008-04-01,711405.500455,146972.608053,0.206594702963
2008-07-01,647087.959742,138451.48747,0.213960846258
2008-10-01,613490.821703,119110.689252,0.194152357359
2009-01-01,578553.044242,95500.5721064,0.165067962319
2009-04-01,631197.75186,99870.790794,0.158224249848
2009-07-01,610519.854612,108714.079121,0.178068048565
2009-10-01,615220.854937,110460.326128,0.179545809024
2010-01-01,611607.33659,108785.857106,0.177868790313
2010-04-01,733730.773969,130038.895174,0.177229713933
2010-07-01,668566.509489,139803.957503,0.209110021993
2010-10-01,668190.09772,144754.324065,0.216636440077
2011-01-01,662325.585973,139564.461715,0.210718813633
2011-04-01,766332.954572,153571.019555,0.200397253751
2011-07-01,711417.39193,164571.646705,0.231329242962
2011-10-01,703050.456408,156629.212418,0.222785165688
2012-01-01,672685.993631,134285.041057,0.199625148031
2012-04-01,730838.272593,134408.947973,0.183910658505
2012-07-01,703461.65253,150230.816595,0.213559354735
2012-10-01,706958.039082,151946.002762,0.214929308901
2013-01-01,677085.529173,133273.112926,0.196833497666
2013-04-01,776486.602799,150469.415305,0.19378237147
2013-07-01,721458.944216,152737.114105,0.211705898623
2013-10-01,706597.345023,147746.629603,0.209095930863
2014-01-01,671066.046635,131370.53631,0.195763944501
2014-04-01,760576.868348,141073.18943,0.185481830044
2014-07-01,690879.798252,140281.453589,0.203047554645
2014-10-01,686701.470619,132033.409489,0.192271918932
2015-01-01,671244.515542,127527.820693,0.189987132468
2015-04-01,790292.734398,147838.920876,0.187068556297
2015-07-01,717177.913615,149148.776188,0.207966215017
2015-10-01,704876.809213,141167.249616,0.200272228808
2016-01-01,675105.588557,125391.890038,0.185736708692
2016-04-01,761343.567957,141746.069737,0.186178849737
2016-07-01,690883.980678,136981.034203,0.198269229037
2016-10-01,691512.272687,132825.091547,0.192079152885
2017-01-01,677345.619927,129173.312525,0.19070517137
